day,facility_id,supplier_id,latitude,longitude,demand,expected_demand,replenishment,stock_before_demand,inventory,estimated_days_of_stock,supplier_disrupted,stockout,stl_residual,modified_z,demand_anomaly
1,F01,S01,20.183434789866165,77.77969100027276,13,11.77,0,90.0,77.0,6.54,False,False,0.165754158252998,0.5989633912378688,False
2,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,77.0,66.0,5.61,False,False,-0.03488938727009305,-0.014614260511317844,False
3,F01,S01,20.183434789866165,77.77969100027276,10,11.77,0,66.0,56.0,4.76,False,False,-0.025331486861466246,0.014614260511317844,False
4,F01,S01,20.183434789866165,77.77969100027276,15,11.77,45,101.0,86.0,7.3,False,False,0.19095163112005942,0.6760184801094224,False
5,F01,S01,20.183434789866165,77.77969100027276,8,11.77,0,86.0,78.0,6.62,False,False,-0.09422420633711148,-0.1960630026335218,False
6,F01,S01,20.183434789866165,77.77969100027276,11,10.01,0,78.0,67.0,6.69,False,False,-0.39987036009941157,-1.130743701196338,False
7,F01,S01,20.183434789866165,77.77969100027276,11,10.01,0,67.0,56.0,5.6,False,False,-0.1142044072300692,-0.2571634218541696,False
8,F01,S01,20.183434789866165,77.77969100027276,9,11.77,45,101.0,92.0,7.81,False,False,-1.5357341295276647,-4.604269961589099,False
9,F01,S01,20.183434789866165,77.77969100027276,13,11.77,0,92.0,79.0,6.71,False,False,3.9117784893757346,12.054486699965917,True
10,F01,S01,20.183434789866165,77.77969100027276,12,11.77,0,79.0,67.0,5.69,False,False,2.657656055615268,8.219319733061596,True
11,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,67.0,56.0,4.76,False,False,-1.2401342403172695,-3.700311225183294,False
12,F01,S01,20.183434789866165,77.77969100027276,9,11.77,45,101.0,92.0,7.81,False,False,0.06257893636820988,0.2834485801447604,False
13,F01,S01,20.183434789866165,77.77969100027276,10,10.01,0,92.0,82.0,8.19,False,False,0.42493166452513087,1.3915407216975917,False
14,F01,S01,20.183434789866165,77.77969100027276,8,10.01,0,82.0,74.0,7.39,False,False,-1.9584010814423243,-5.896805912106068,False
15,F01,S01,20.183434789866165,77.77969100027276,9,11.77,0,74.0,65.0,5.52,True,False,-0.46503359740131245,-1.3300160277485715,False
16,F01,S01,20.183434789866165,77.77969100027276,11,11.77,22,87.0,76.0,6.45,True,False,2.5484226403995773,7.885278674198458,True
17,F01,S01,20.183434789866165,77.77969100027276,10,11.77,0,76.0,66.0,5.61,True,False,-0.15834541798596646,-0.392148764416919,False
18,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,66.0,55.0,4.67,True,False,-0.49587212441598005,-1.42432173262302,False
19,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,55.0,44.0,3.74,True,False,-0.6757945482823846,-1.9745331936753037,False
20,F01,S01,20.183434789866165,77.77969100027276,11,10.01,22,66.0,55.0,5.5,True,False,1.5063321011718713,4.6985154802845335,True
21,F01,S01,20.183434789866165,77.77969100027276,11,10.01,0,55.0,44.0,4.4,True,False,0.16155402324899093,0.5861191755614088,False
22,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,44.0,33.0,2.8,False,False,0.286446831995983,0.9680474160714955,False
23,F01,S01,20.183434789866165,77.77969100027276,10,11.77,0,33.0,23.0,1.95,False,False,0.08682760518517618,0.3576021804111872,False
24,F01,S01,20.183434789866165,77.77969100027276,13,11.77,45,68.0,55.0,4.67,False,False,0.05256941116523883,0.252838968691017,False
25,F01,S01,20.183434789866165,77.77969100027276,13,11.77,0,55.0,42.0,3.57,False,False,0.2788943804345898,0.9449516544714505,False
26,F01,S01,20.183434789866165,77.77969100027276,16,11.77,0,42.0,26.0,2.21,False,False,0.1899585270456452,0.6729815198905775,False
27,F01,S01,20.183434789866165,77.77969100027276,10,10.01,0,26.0,16.0,1.6,False,False,-0.12918437071239453,-0.30297287360010655,False
28,F01,S01,20.183434789866165,77.77969100027276,12,10.01,45,61.0,49.0,4.9,False,False,-0.09570715516546713,-0.20059793176565252,False
29,F01,S01,20.183434789866165,77.77969100027276,12,11.77,0,49.0,37.0,3.14,False,False,-0.0606315778139912,-0.0933351223443111,False
30,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,37.0,26.0,2.21,False,False,-0.04524737262333289,-0.046289479932527466,False
1,F02,S02,20.15601864044244,77.15599452033621,11,13.47,0,154.0,143.0,10.61,False,False,-0.20125965647238964,-0.06894895442106352,False
2,F02,S02,20.15601864044244,77.15599452033621,12,13.47,0,143.0,131.0,9.72,False,False,-0.09050962118352679,0.018380195477592197,False
3,F02,S02,20.15601864044244,77.15599452033621,13,13.47,0,131.0,118.0,8.76,False,False,0.6658105629747091,0.614757420653749,False
4,F02,S02,20.15601864044244,77.15599452033621,12,13.47,0,118.0,106.0,7.87,False,False,-0.1945375872094779,-0.06364843607126036,False
5,F02,S02,20.15601864044244,77.15599452033621,10,13.47,74,180.0,170.0,12.62,False,False,-0.3194101579335449,-0.1621135554597068,False
6,F02,S02,20.15601864044244,77.15599452033621,10,11.45,0,170.0,160.0,13.97,False,False,-0.13712881535000676,-0.018380195477592197,False
7,F02,S02,20.15601864044244,77.15599452033621,13,11.45,0,160.0,147.0,12.84,False,False,-0.2894592308270614,-0.1384965065254674,False
8,F02,S02,20.15601864044244,77.15599452033621,14,13.47,0,147.0,133.0,9.87,False,False,0.9590168412109783,0.8459578438097048,False
9,F02,S02,20.15601864044244,77.15599452033621,14,13.47,0,133.0,119.0,8.83,False,False,1.0147426158210813,0.8898989993267339,False
10,F02,S02,20.15601864044244,77.15599452033621,13,13.47,74,193.0,180.0,13.36,False,False,-1.223960428557925,-0.8753738805529827,False
11,F02,S02,20.15601864044244,77.15599452033621,14,13.47,0,180.0,166.0,12.32,False,False,0.13072204748558214,0.19282685371244684,False
12,F02,S02,20.15601864044244,77.15599452033621,13,13.47,0,166.0,153.0,11.36,False,False,1.2197323448834503,1.051538485312276,False
13,F02,S02,20.15601864044244,77.15599452033621,11,11.45,0,153.0,142.0,12.4,False,False,-0.005526529986163098,0.08539147082995335,False
14,F02,S02,20.15601864044244,77.15599452033621,13,11.45,0,142.0,129.0,11.26,False,False,1.1419829696954888,0.9902311744603481,False
15,F02,S02,20.15601864044244,77.15599452033621,12,13.47,37,166.0,154.0,11.43,True,False,-1.4536624633592918,-1.0564996325843414,False
16,F02,S02,20.15601864044244,77.15599452033621,11,13.47,0,154.0,143.0,10.61,True,False,-1.3926073851770617,-1.008356189011224,False
17,F02,S02,20.15601864044244,77.15599452033621,15,13.47,0,143.0,128.0,9.5,True,False,0.557994242192418,0.5297415774121617,False
18,F02,S02,20.15601864044244,77.15599452033621,15,13.47,0,128.0,113.0,8.39,True,False,1.7118910532160587,1.439617834468287,False
19,F02,S02,20.15601864044244,77.15599452033621,10,13.47,0,113.0,103.0,7.64,True,False,-2.0935579611517348,-1.5610731047321256,False
20,F02,S02,20.15601864044244,77.15599452033621,12,11.45,37,140.0,128.0,11.18,True,False,1.8631975170111836,1.5589267342165902,False
21,F02,S02,20.15601864044244,77.15599452033621,7,11.45,0,128.0,121.0,10.57,True,False,-2.9661778307998894,-2.2491555166454735,False
22,F02,S02,20.15601864044244,77.15599452033621,15,13.47,0,121.0,106.0,7.87,False,False,2.071984399306398,1.7235603697118318,False
23,F02,S02,20.15601864044244,77.15599452033621,11,13.47,0,106.0,95.0,7.05,False,False,-1.3143649674852913,-0.9466601019154851,False
24,F02,S02,20.15601864044244,77.15599452033621,15,13.47,0,95.0,80.0,5.94,False,False,-0.19321571942410287,-0.06260611053453137,False
25,F02,S02,20.15601864044244,77.15599452033621,12,13.47,74,154.0,142.0,10.54,False,False,-0.9398866276154756,-0.6513746422676043,False
26,F02,S02,20.15601864044244,77.15599452033621,14,13.47,0,142.0,128.0,9.5,False,False,0.68898038086712,0.6330273967722523,False
27,F02,S02,20.15601864044244,77.15599452033621,9,11.45,0,128.0,119.0,10.39,False,False,-0.9985413651894142,-0.6976253577323958,False
28,F02,S02,20.15601864044244,77.15599452033621,10,11.45,0,119.0,109.0,9.52,False,False,0.6773736575088716,0.6238752075080143,False
29,F02,S02,20.15601864044244,77.15599452033621,13,13.47,0,109.0,96.0,7.13,False,False,-0.8745084286886229,-0.5998223107555132,False
30,F02,S02,20.15601864044244,77.15599452033621,15,13.47,74,170.0,155.0,11.5,False,False,1.1223928098484883,0.9747838475014431,False
1,F03,S03,20.459248891965867,77.33370861113902,14,13.98,0,183.0,169.0,12.09,False,False,-0.7143974053203657,-0.7481368180560016,False
2,F03,S03,20.459248891965867,77.33370861113902,11,13.98,28,197.0,186.0,13.31,False,False,0.10603170892457037,0.05794559298995513,False
3,F03,S03,20.459248891965867,77.33370861113902,11,13.98,0,186.0,175.0,12.52,False,False,-0.20122790530135148,-0.24394102506384877,False
4,F03,S03,20.459248891965867,77.33370861113902,14,13.98,28,203.0,189.0,13.52,False,False,0.375317632111436,0.32252255942657104,False
5,F03,S03,20.459248891965867,77.33370861113902,14,13.98,0,189.0,175.0,12.52,False,False,0.510577177517014,0.455416844361659,False
6,F03,S03,20.459248891965867,77.33370861113902,12,11.88,28,203.0,191.0,16.08,False,False,-0.1286011087886596,-0.17258424088466506,False
7,F03,S03,20.459248891965867,77.33370861113902,13,11.88,0,191.0,178.0,14.98,False,False,0.7367553162375291,0.6776398447649447,False
8,F03,S03,20.459248891965867,77.33370861113902,14,13.98,28,206.0,192.0,13.74,False,False,0.892706654963856,0.8308640891800839,False
9,F03,S03,20.459248891965867,77.33370861113902,10,13.98,0,192.0,182.0,13.02,False,False,-0.9484077067555194,-0.978055021487925,False
10,F03,S03,20.459248891965867,77.33370861113902,15,13.98,28,210.0,195.0,13.95,False,False,4.301376037547682,4.179926654933201,True
11,F03,S03,20.459248891965867,77.33370861113902,13,13.98,0,195.0,182.0,13.02,False,False,-0.7905824445721272,-0.8229896225937946,False
12,F03,S03,20.459248891965867,77.33370861113902,11,13.98,28,210.0,199.0,14.24,False,False,-1.119480963887968,-1.1461367499157629,False
13,F03,S03,20.459248891965867,77.33370861113902,11,11.88,0,199.0,188.0,15.83,False,False,-0.04174556333599888,-0.08724752345767915,False
14,F03,S03,20.459248891965867,77.33370861113902,9,11.88,28,216.0,207.0,17.43,False,False,-1.328501954799048,-1.351502626610525,False
15,F03,S03,20.459248891965867,77.33370861113902,13,13.98,0,207.0,194.0,13.88,True,False,0.33674754746282254,0.2846269432325814,False
16,F03,S03,20.459248891965867,77.33370861113902,15,13.98,14,208.0,193.0,13.81,True,False,2.516537767162026,2.4262995452423595,False
17,F03,S03,20.459248891965867,77.33370861113902,13,13.98,0,193.0,180.0,12.88,True,False,1.1744242338194884,1.107655321055092,False
18,F03,S03,20.459248891965867,77.33370861113902,12,13.98,14,194.0,182.0,13.02,True,False,-4.350228604395852,-4.320388860579088,False
19,F03,S03,20.459248891965867,77.33370861113902,13,13.98,0,182.0,169.0,12.09,True,False,-0.01192211534870502,-0.05794559298995513,False
20,F03,S03,20.459248891965867,77.33370861113902,12,11.88,14,183.0,171.0,14.4,True,False,0.5929641276655016,0.5363631080440924,False
21,F03,S03,20.459248891965867,77.33370861113902,9,11.88,0,171.0,162.0,13.64,True,False,-0.9347840354020747,-0.9646695849386755,False
22,F03,S03,20.459248891965867,77.33370861113902,11,13.98,28,190.0,179.0,12.81,False,False,-1.2507168917709635,-1.275077777637746,False
23,F03,S03,20.459248891965867,77.33370861113902,14,13.98,0,179.0,165.0,11.81,False,False,1.1427496024604284,1.0765345785417049,False
24,F03,S03,20.459248891965867,77.33370861113902,11,13.98,28,193.0,182.0,13.02,False,False,-0.6080440670236023,-0.6436432623440732,False
25,F03,S03,20.459248891965867,77.33370861113902,18,13.98,0,182.0,164.0,11.74,False,False,0.13554709265651255,0.08694484626912094,False
26,F03,S03,20.459248891965867,77.33370861113902,13,13.98,28,192.0,179.0,12.81,False,False,0.1726757629422888,0.12342425386600173,False
27,F03,S03,20.459248891965867,77.33370861113902,10,11.88,0,179.0,169.0,14.23,False,False,-0.2952719331187783,-0.33634052109747253,False
28,F03,S03,20.459248891965867,77.33370861113902,10,11.88,28,197.0,187.0,15.74,False,False,0.7303638604159648,0.6713601552350553,False
29,F03,S03,20.459248891965867,77.33370861113902,12,13.98,0,187.0,175.0,12.52,False,False,0.6435087355853444,0.5860238510747643,False
30,F03,S03,20.459248891965867,77.33370861113902,12,13.98,28,203.0,191.0,13.67,False,False,-1.0716666241388424,-1.0991585313246086,False
1,F04,S01,20.708072577796045,77.0205844942958,13,13.11,0,71.0,58.0,4.42,False,False,-0.3751687944361848,-0.6888127922378647,False
2,F04,S01,20.708072577796045,77.0205844942958,13,13.11,0,58.0,45.0,3.43,False,False,0.2377079989680535,0.412359175596153,False
3,F04,S01,20.708072577796045,77.0205844942958,14,13.11,0,45.0,31.0,2.36,False,False,0.269935553310507,0.47026327608695134,False
4,F04,S01,20.708072577796045,77.0205844942958,11,13.11,56,87.0,76.0,5.8,False,False,0.06980134703386831,0.11067684676169075,False
5,F04,S01,20.708072577796045,77.0205844942958,11,13.11,0,76.0,65.0,4.96,False,False,-0.1095586404420601,-0.2115839934024476,False
6,F04,S01,20.708072577796045,77.0205844942958,11,11.15,0,65.0,54.0,4.84,False,False,-0.021257497829008543,-0.052930991657817006,False
7,F04,S01,20.708072577796045,77.0205844942958,11,11.15,0,54.0,43.0,3.86,False,False,-0.30657890307758606,-0.5655755177094223,False
8,F04,S01,20.708072577796045,77.0205844942958,13,13.11,56,99.0,86.0,6.56,False,False,0.5402686008415714,0.9559778228343672,False
9,F04,S01,20.708072577796045,77.0205844942958,12,13.11,0,86.0,74.0,5.64,False,False,-0.7477315668555242,-1.358206193426914,False
