day,facility_id,supplier_id,latitude,longitude,demand,expected_demand,replenishment,stock_before_demand,inventory,estimated_days_of_stock,supplier_disrupted,stockout,lag_1,lag_7,day_of_week,month,trend,predicted_demand,prediction_lower,prediction_upper,forecast_confidence
24,F01,S01,20.183434789866165,77.77969100027276,13,11.77,45,68.0,55.0,4.67,False,False,10.0,10.0,2,1,0.8,10.646183119743695,8.35333608280158,12.93903015668581,0.7065822666292949
25,F01,S01,20.183434789866165,77.77969100027276,13,11.77,0,55.0,42.0,3.57,False,False,13.0,11.0,3,1,0.8333333333333334,11.828807024460298,9.535959987518183,14.121654061402413,0.7065822666292949
26,F01,S01,20.183434789866165,77.77969100027276,16,11.77,0,42.0,26.0,2.21,False,False,13.0,11.0,4,1,0.8666666666666667,11.626282491584831,9.333435454642716,13.919129528526947,0.7065822666292949
27,F01,S01,20.183434789866165,77.77969100027276,10,10.01,0,26.0,16.0,1.6,False,False,16.0,11.0,5,1,0.9,10.875780087204443,8.582933050262328,13.168627124146559,0.7065822666292949
28,F01,S01,20.183434789866165,77.77969100027276,12,10.01,45,61.0,49.0,4.9,False,False,10.0,11.0,6,1,0.9333333333333333,9.774401494044895,7.48155445710278,12.06724853098701,0.7065822666292949
29,F01,S01,20.183434789866165,77.77969100027276,12,11.77,0,49.0,37.0,3.14,False,False,12.0,11.0,0,1,0.9666666666666667,11.762722144841169,9.469875107899053,14.055569181783284,0.7065822666292949
30,F01,S01,20.183434789866165,77.77969100027276,11,11.77,0,37.0,26.0,2.21,False,False,12.0,10.0,1,1,1.0,12.021276698032352,9.728429661090237,14.314123734974467,0.7065822666292949
24,F02,S02,20.15601864044244,77.15599452033621,15,13.47,0,95.0,80.0,5.94,False,False,11.0,15.0,2,1,0.8,13.597648742398997,11.304801705456882,15.890495779341112,0.7065822666292949
25,F02,S02,20.15601864044244,77.15599452033621,12,13.47,74,154.0,142.0,10.54,False,False,15.0,15.0,3,1,0.8333333333333334,12.324986509848738,10.032139472906623,14.617833546790854,0.7065822666292949
26,F02,S02,20.15601864044244,77.15599452033621,14,13.47,0,142.0,128.0,9.5,False,False,12.0,10.0,4,1,0.8666666666666667,11.650726587328942,9.357879550386826,13.943573624271057,0.7065822666292949
27,F02,S02,20.15601864044244,77.15599452033621,9,11.45,0,128.0,119.0,10.39,False,False,14.0,12.0,5,1,0.9,9.581650137246388,7.288803100304273,11.874497174188503,0.7065822666292949
28,F02,S02,20.15601864044244,77.15599452033621,10,11.45,0,119.0,109.0,9.52,False,False,9.0,7.0,6,1,0.9333333333333333,7.577485120147901,5.284638083205786,9.870332157090015,0.7065822666292949
29,F02,S02,20.15601864044244,77.15599452033621,13,13.47,0,109.0,96.0,7.13,False,False,10.0,15.0,0,1,0.9666666666666667,12.78661397834159,10.493766941399475,15.079461015283705,0.7065822666292949
30,F02,S02,20.15601864044244,77.15599452033621,15,13.47,74,170.0,155.0,11.5,False,False,13.0,11.0,1,1,1.0,11.278103004529648,8.985255967587532,13.570950041471763,0.7065822666292949
24,F03,S03,20.459248891965867,77.33370861113902,11,13.98,28,193.0,182.0,13.02,False,False,14.0,13.0,2,1,0.8,10.791480406070075,8.49863336912796,13.08432744301219,0.7065822666292949
25,F03,S03,20.459248891965867,77.33370861113902,18,13.98,0,182.0,164.0,11.74,False,False,11.0,12.0,3,1,0.8333333333333334,12.757332945986262,10.464485909044146,15.050179982928377,0.7065822666292949
26,F03,S03,20.459248891965867,77.33370861113902,13,13.98,28,192.0,179.0,12.81,False,False,18.0,13.0,4,1,0.8666666666666667,10.884631509215664,8.591784472273549,13.17747854615778,0.7065822666292949
27,F03,S03,20.459248891965867,77.33370861113902,10,11.88,0,179.0,169.0,14.23,False,False,13.0,12.0,5,1,0.9,10.190744234054858,7.8978971971127425,12.483591270996973,0.7065822666292949
28,F03,S03,20.459248891965867,77.33370861113902,10,11.88,28,197.0,187.0,15.74,False,False,10.0,9.0,6,1,0.9333333333333333,10.901170071423794,8.608323034481678,13.194017108365909,0.7065822666292949
29,F03,S03,20.459248891965867,77.33370861113902,12,13.98,0,187.0,175.0,12.52,False,False,10.0,11.0,0,1,0.9666666666666667,9.584221961334336,7.291374924392221,11.877068998276451,0.7065822666292949
30,F03,S03,20.459248891965867,77.33370861113902,12,13.98,28,203.0,191.0,13.67,False,False,12.0,14.0,1,1,1.0,11.51160615942832,9.218759122486205,13.804453196370435,0.7065822666292949
24,F04,S01,20.708072577796045,77.0205844942958,12,13.11,56,63.0,51.0,3.89,False,False,15.0,12.0,2,1,0.8,12.01943754929085,9.726590512348734,14.312284586232964,0.7065822666292949
25,F04,S01,20.708072577796045,77.0205844942958,12,13.11,0,51.0,39.0,2.97,False,False,12.0,11.0,3,1,0.8333333333333334,11.830910111252368,9.538063074310253,14.123757148194484,0.7065822666292949
26,F04,S01,20.708072577796045,77.0205844942958,13,13.11,0,39.0,26.0,1.98,False,False,12.0,14.0,4,1,0.8666666666666667,11.123217121424128,8.830370084482013,13.416064158366243,0.7065822666292949
27,F04,S01,20.708072577796045,77.0205844942958,14,11.15,0,26.0,12.0,1.08,False,False,13.0,10.0,5,1,0.9,10.762068121384603,8.469221084442488,13.054915158326718,0.7065822666292949
28,F04,S01,20.708072577796045,77.0205844942958,11,11.15,56,68.0,57.0,5.11,False,False,14.0,11.0,6,1,0.9333333333333333,9.243198533461946,6.950351496519831,11.536045570404061,0.7065822666292949
