day,facility_id,supplier_id,latitude,longitude,demand,expected_demand,replenishment,stock_before_demand,inventory,estimated_days_of_stock,supplier_disrupted,stockout
1,F01,S01,20.0,77.0,7,6.0,24,114,107,17.83,False,False
1,F04,S01,20.06,77.05,17,17.0,83,168,151,8.88,False,False
1,F07,S01,20.11,77.0,15,15.0,53,163,148,9.87,False,False
1,F10,S01,20.05,77.12,12,12.0,52,167,155,12.92,False,False
1,F02,S02,20.5,77.5,12,11.0,42,142,130,11.82,False,False
1,F05,S02,20.55,77.55,18,18.0,81,156,138,7.67,False,False
1,F08,S02,20.6,77.5,7,6.0,24,129,122,20.33,False,False
1,F03,S03,20.9,77.9,16,16.0,28,133,117,7.31,False,False
1,F06,S03,20.95,77.95,8,8.0,34,139,131,16.38,False,False
1,F09,S03,21.0,77.9,6,6.0,17,122,116,19.33,False,False
2,F01,S01,20.0,77.0,8,6.3,24,131,123,19.52,False,False
2,F04,S01,20.06,77.05,17,17.85,78,229,212,11.88,False,False
2,F07,S01,20.11,77.0,16,15.75,55,203,187,11.87,False,False
2,F10,S01,20.05,77.12,13,12.6,55,210,197,15.63,False,False
2,F02,S02,20.5,77.5,11,11.55,40,170,159,13.77,False,False
2,F05,S02,20.55,77.55,19,18.9,82,220,201,10.63,False,False
2,F08,S02,20.6,77.5,7,6.3,21,143,136,21.59,False,False
2,F03,S03,20.9,77.9,17,16.8,31,148,131,7.8,False,False
2,F06,S03,20.95,77.95,7,8.4,39,170,163,19.4,False,False
2,F09,S03,21.0,77.9,6,6.3,16,132,126,20.0,False,False
3,F01,S01,20.0,77.0,6,6.6,22,145,139,21.06,False,False
3,F04,S01,20.06,77.05,18,18.7,80,292,274,14.65,False,False
3,F07,S01,20.11,77.0,17,16.5,35,222,205,12.42,False,False
3,F10,S01,20.05,77.12,13,13.2,53,250,237,17.95,False,False
3,F02,S02,20.5,77.5,11,12.1,25,184,173,14.3,False,False
3,F05,S02,20.55,77.55,20,19.8,81,282,262,13.23,False,False
3,F08,S02,20.6,77.5,6,6.6,23,159,153,23.18,False,False
3,F03,S03,20.9,77.9,17,17.6,31,162,145,8.24,False,False
3,F06,S03,20.95,77.95,9,8.8,35,198,189,21.48,False,False
3,F09,S03,21.0,77.9,7,6.6,16,142,135,20.45,False,False
4,F01,S01,20.0,77.0,6,6.0,23,162,156,26.0,False,False
4,F04,S01,20.06,77.05,17,17.0,76,350,333,19.59,False,False
4,F07,S01,20.11,77.0,14,15.0,52,257,243,16.2,False,False
4,F10,S01,20.05,77.12,11,12.0,59,296,285,23.75,False,False
4,F02,S02,20.5,77.5,11,11.0,44,217,206,18.73,False,False
4,F05,S02,20.55,77.55,19,18.0,83,345,326,18.11,False,False
4,F08,S02,20.6,77.5,5,6.0,24,177,172,28.67,False,False
4,F03,S03,20.9,77.9,15,16.0,29,174,159,9.94,False,False
4,F06,S03,20.95,77.95,8,8.0,39,228,220,27.5,False,False
4,F09,S03,21.0,77.9,6,6.0,16,151,145,24.17,False,False
5,F01,S01,20.0,77.0,7,5.7,23,179,172,30.18,False,False
5,F04,S01,20.06,77.05,16,16.15,73,406,390,24.15,False,False
5,F07,S01,20.11,77.0,15,14.25,53,296,281,19.72,False,False
5,F10,S01,20.05,77.12,10,11.4,53,338,328,28.77,False,False
5,F02,S02,20.5,77.5,10,10.45,40,246,236,22.58,False,False
5,F05,S02,20.55,77.55,17,17.1,89,415,398,23.27,False,False
5,F08,S02,20.6,77.5,6,5.7,21,193,187,32.81,False,False
5,F03,S03,20.9,77.9,18,15.2,32,191,173,11.38,False,False
5,F06,S03,20.95,77.95,6,7.6,36,256,250,32.89,False,False
5,F09,S03,21.0,77.9,5,5.7,11,156,151,26.49,False,False
6,F01,S01,20.0,77.0,6,5.1,24,196,190,37.25,False,False
6,F04,S01,20.06,77.05,14,14.45,74,464,450,31.14,False,False
6,F07,S01,20.11,77.0,13,12.75,58,339,326,25.57,False,False
6,F10,S01,20.05,77.12,11,10.2,59,387,376,36.86,False,False
6,F02,S02,20.5,77.5,9,9.35,41,277,268,28.66,False,False
6,F05,S02,20.55,77.55,15,15.3,87,485,470,30.72,False,False
6,F08,S02,20.6,77.5,6,5.1,22,209,203,39.8,False,False
6,F03,S03,20.9,77.9,14,13.6,32,205,191,14.04,False,False
6,F06,S03,20.95,77.95,6,6.8,37,287,281,41.32,False,False
6,F09,S03,21.0,77.9,5,5.1,17,168,163,31.96,False,False
7,F01,S01,20.0,77.0,5,4.8,22,212,207,43.12,False,False
7,F04,S01,20.06,77.05,14,13.6,81,531,517,38.01,False,False
7,F07,S01,20.11,77.0,12,12.0,58,384,372,31.0,False,False
7,F10,S01,20.05,77.12,9,9.6,53,429,420,43.75,False,False
7,F02,S02,20.5,77.5,10,8.8,39,307,297,33.75,False,False
7,F05,S02,20.55,77.55,16,14.4,88,558,542,37.64,False,False
7,F08,S02,20.6,77.5,4,4.8,23,226,222,46.25,False,False
7,F03,S03,20.9,77.9,13,12.8,18,209,196,15.31,False,False
7,F06,S03,20.95,77.95,8,6.4,35,316,308,48.12,False,False
7,F09,S03,21.0,77.9,3,4.8,17,180,177,36.88,False,False
8,F01,S01,20.0,77.0,5,6.0,21,228,223,37.17,False,False
8,F04,S01,20.06,77.05,18,17.0,82,599,581,34.18,False,False
8,F07,S01,20.11,77.0,15,15.0,54,426,411,27.4,False,False
8,F10,S01,20.05,77.12,12,12.0,59,479,467,38.92,False,False
8,F02,S02,20.5,77.5,10,11.0,38,335,325,29.55,False,False
8,F05,S02,20.55,77.55,18,18.0,78,620,602,33.44,False,False
8,F08,S02,20.6,77.5,6,6.0,24,246,240,40.0,False,False
8,F03,S03,20.9,77.9,15,16.0,31,227,212,13.25,False,False
8,F06,S03,20.95,77.95,8,8.0,34,342,334,41.75,False,False
8,F09,S03,21.0,77.9,5,6.0,17,194,189,31.5,False,False
9,F01,S01,20.0,77.0,6,6.3,23,246,240,38.1,False,False
9,F04,S01,20.06,77.05,20,17.85,78,659,639,35.8,False,False
9,F07,S01,20.11,77.0,17,15.75,57,468,451,28.63,False,False
9,F10,S01,20.05,77.12,11,12.6,53,520,509,40.4,False,False
9,F02,S02,20.5,77.5,11,11.55,43,368,357,30.91,False,False
9,F05,S02,20.55,77.55,18,18.9,85,687,669,35.4,False,False
9,F08,S02,20.6,77.5,8,6.3,22,262,254,40.32,False,False
9,F03,S03,20.9,77.9,17,16.8,28,240,223,13.27,False,False
9,F06,S03,20.95,77.95,8,8.4,23,357,349,41.55,False,False
9,F09,S03,21.0,77.9,6,6.3,10,199,193,30.63,False,False
10,F01,S01,20.0,77.0,7,6.6,23,263,256,38.79,False,False
10,F04,S01,20.06,77.05,19,18.7,79,718,699,37.38,False,False
10,F07,S01,20.11,77.0,16,16.5,52,503,487,29.52,False,False
10,F10,S01,20.05,77.12,15,13.2,53,562,547,41.44,False,False
10,F02,S02,20.5,77.5,12,12.1,38,395,383,31.65,False,False
10,F05,S02,20.55,77.55,20,19.8,78,747,727,36.72,False,False
10,F08,S02,20.6,77.5,7,6.6,24,278,271,41.06,False,False
10,F03,S03,20.9,77.9,18,17.6,31,254,236,13.41,False,False
10,F06,S03,20.95,77.95,8,8.8,39,388,380,43.18,False,False
10,F09,S03,21.0,77.9,6,6.6,16,209,203,30.76,False,False
11,F01,S01,20.0,77.0,6,6.0,23,279,273,45.5,False,False
11,F04,S01,20.06,77.05,17,17.0,80,779,762,44.82,False,False
11,F07,S01,20.11,77.0,15,15.0,55,542,527,35.13,False,False
11,F10,S01,20.05,77.12,13,12.0,54,601,588,49.0,False,False
11,F02,S02,20.5,77.5,11,11.0,40,423,412,37.45,False,False
11,F05,S02,20.55,77.55,18,18.0,89,816,798,44.33,False,False
11,F08,S02,20.6,77.5,7,6.0,22,293,286,47.67,False,False
11,F03,S03,20.9,77.9,17,16.0,30,266,249,15.56,False,False
11,F06,S03,20.95,77.95,8,8.0,38,418,410,51.25,False,False
11,F09,S03,21.0,77.9,7,6.0,16,219,212,35.33,False,False
12,F01,S01,20.0,77.0,6,5.7,23,296,290,50.88,False,False
12,F04,S01,20.06,77.05,18,16.15,74,836,818,50.65,False,False
12,F07,S01,20.11,77.0,14,14.25,59,586,572,40.14,False,False
12,F10,S01,20.05,77.12,13,11.4,58,646,633,55.53,False,False
12,F02,S02,20.5,77.5,10,10.45,39,451,441,42.2,False,False
12,F05,S02,20.55,77.55,17,17.1,85,883,866,50.64,False,False
12,F08,S02,20.6,77.5,7,5.7,22,308,301,52.81,False,False
12,F03,S03,20.9,77.9,15,15.2,31,280,265,17.43,False,False
12,F06,S03,20.95,77.95,9,7.6,38,448,439,57.76,False,False
12,F09,S03,21.0,77.9,6,5.7,16,228,222,38.95,False,False
13,F01,S01,20.0,77.0,5,5.1,22,312,307,60.2,False,False
13,F04,S01,20.06,77.05,15,14.45,77,895,880,60.9,False,False
13,F07,S01,20.11,77.0,13,12.75,54,626,613,48.08,False,False
13,F10,S01,20.05,77.12,10,10.2,53,686,676,66.27,False,False
13,F02,S02,20.5,77.5,10,9.35,40,481,471,50.37,False,False
13,F05,S02,20.55,77.55,16,15.3,84,950,934,61.05,False,False
13,F08,S02,20.6,77.5,5,5.1,22,323,318,62.35,False,False
13,F03,S03,20.9,77.9,15,13.6,31,296,281,20.66,False,False
13,F06,S03,20.95,77.95,7,6.8,39,478,471,69.26,False,False
13,F09,S03,21.0,77.9,3,5.1,17,239,236,46.27,False,False
14,F01,S01,20.0,77.0,5,4.8,22,329,324,67.5,False,False
14,F04,S01,20.06,77.05,13,13.6,78,958,945,69.49,False,False
14,F07,S01,20.11,77.0,12,12.0,59,672,660,55.0,False,False
14,F10,S01,20.05,77.12,8,9.6,60,736,728,75.83,False,False
14,F02,S02,20.5,77.5,8,8.8,43,514,506,57.5,False,False
14,F05,S02,20.55,77.55,15,14.4,78,1012,997,69.24,False,False
14,F08,S02,20.6,77.5,5,4.8,21,339,334,69.58,False,False
14,F03,S03,20.9,77.9,13,12.8,28,309,296,23.12,False,False
14,F06,S03,20.95,77.95,7,6.4,22,493,486,75.94,False,False
14,F09,S03,21.0,77.9,5,4.8,17,253,248,51.67,False,False
15,F01,S01,20.0,77.0,5,6.0,8,332,327,54.5,True,False
15,F04,S01,20.06,77.05,18,17.0,42,987,969,57.0,True,False
15,F07,S01,20.11,77.0,16,15.0,19,679,663,44.2,True,False
15,F10,S01,20.05,77.12,11,12.0,26,754,743,61.92,True,False
15,F02,S02,20.5,77.5,12,11.0,21,527,515,46.82,True,False
15,F05,S02,20.55,77.55,18,18.0,43,1040,1022,56.78,True,False
15,F08,S02,20.6,77.5,6,6.0,11,345,339,56.5,True,False
15,F03,S03,20.9,77.9,15,16.0,14,310,295,18.44,True,False
15,F06,S03,20.95,77.95,8,8.0,20,506,498,62.25,True,False
15,F09,S03,21.0,77.9,7,6.0,8,256,249,41.5,True,False
16,F01,S01,20.0,77.0,9,9.77,11,338,329,33.67,True,False
16,F04,S01,20.06,77.05,28,27.67,40,1009,981,35.45,True,False
16,F07,S01,20.11,77.0,25,24.41,27,690,665,27.24,True,False
16,F10,S01,20.05,77.12,20,19.53,28,771,751,38.45,True,False
16,F02,S02,20.5,77.5,12,11.55,20,535,523,45.28,True,False
16,F05,S02,20.55,77.55,20,18.9,39,1061,1041,55.08,True,False
16,F08,S02,20.6,77.5,6,6.3,11,350,344,54.6,True,False
16,F03,S03,20.9,77.9,17,16.8,15,310,293,17.44,True,False
16,F06,S03,20.95,77.95,8,8.4,18,516,508,60.48,True,False
16,F09,S03,21.0,77.9,5,6.3,8,257,252,40.0,True,False
17,F01,S01,20.0,77.0,12,10.23,11,340,328,32.06,True,False
17,F04,S01,20.06,77.05,29,28.99,41,1022,993,34.25,True,False
17,F07,S01,20.11,77.0,26,25.57,27,692,666,26.05,True,False
17,F10,S01,20.05,77.12,21,20.46,27,778,757,37.0,True,False
17,F02,S02,20.5,77.5,14,12.1,20,543,529,43.72,True,False
17,F05,S02,20.55,77.55,20,19.8,44,1085,1065,53.79,True,False
17,F08,S02,20.6,77.5,6,6.6,12,356,350,53.03,True,False
17,F03,S03,20.9,77.9,17,17.6,15,308,291,16.53,True,False
17,F06,S03,20.95,77.95,9,8.8,13,521,512,58.18,True,False
17,F09,S03,21.0,77.9,6,6.6,8,260,254,38.48,True,False
18,F01,S01,20.0,77.0,10,9.3,7,335,325,34.95,True,False
18,F04,S01,20.06,77.05,25,26.35,42,1035,1010,38.33,True,False
18,F07,S01,20.11,77.0,24,23.25,28,694,670,28.82,True,False
18,F10,S01,20.05,77.12,16,18.6,30,787,771,41.45,True,False
18,F02,S02,20.5,77.5,14,13.75,20,549,535,38.91,True,False
18,F05,S02,20.55,77.55,21,22.5,41,1106,1085,48.22,True,False
18,F08,S02,20.6,77.5,7,7.5,11,361,354,47.2,True,False
18,F03,S03,20.9,77.9,17,16.0,14,305,288,18.0,True,False
18,F06,S03,20.95,77.95,9,8.0,19,531,522,65.25,True,False
18,F09,S03,21.0,77.9,7,6.0,8,262,255,42.5,True,False
19,F01,S01,20.0,77.0,8,8.83,10,335,327,37.03,True,False
19,F04,S01,20.06,77.05,25,25.03,39,1049,1024,40.91,True,False
19,F07,S01,20.11,77.0,21,22.09,19,689,668,30.24,True,False
19,F10,S01,20.05,77.12,16,17.67,27,798,782,44.26,True,False
19,F02,S02,20.5,77.5,14,13.06,20,555,541,41.42,True,False
19,F05,S02,20.55,77.55,20,21.37,44,1129,1109,51.9,True,False
19,F08,S02,20.6,77.5,7,7.12,11,365,358,50.28,True,False
19,F03,S03,20.9,77.9,15,15.2,15,303,288,18.95,True,False
19,F06,S03,20.95,77.95,8,7.6,20,542,534,70.26,True,False
19,F09,S03,21.0,77.9,6,5.7,9,264,258,45.26,True,False
20,F01,S01,20.0,77.0,8,7.9,11,338,330,41.77,True,False
20,F04,S01,20.06,77.05,21,22.4,39,1063,1042,46.52,True,False
