facility_a,facility_b,supplier_a,supplier_b,shared_supplier,best_lag_days,correlation,p_value,synchronized
F01,F02,S01,S02,False,2,0.22941184974659254,0.24026257879127427,False
F01,F03,S01,S03,False,-2,0.5667502350294286,0.00166379381767296,False
F01,F04,S01,S01,True,0,0.9884012301857722,1.819839839081171e-24,True
F01,F05,S01,S02,False,2,0.24230301766199708,0.21412412304482825,False
F01,F06,S01,S03,False,-2,0.5640623372966199,0.0017702654286997012,False
F01,F07,S01,S01,True,0,0.9911033392952642,4.5143601262480636e-26,True
F01,F08,S01,S02,False,2,0.2606770613195893,0.1803151260212692,False
F01,F09,S01,S03,False,-2,0.562337282454409,0.0018416558524008168,False
F01,F10,S01,S01,True,0,0.987464055116042,5.3701049356118686e-24,True
F02,F03,S02,S03,False,1,0.12650894932560902,0.5131506824986714,False
F02,F04,S02,S01,False,-1,0.2544051827858222,0.18293031913379534,False
F02,F05,S02,S02,True,0,0.993992793638605,1.8813585013293015e-28,True
F02,F06,S02,S03,False,1,0.10781560532288097,0.5777375101509656,False
F02,F07,S02,S01,False,-1,0.23905768590366203,0.2116863715626762,False
F02,F08,S02,S02,True,0,0.9932288614880489,1.0006937157948028e-27,True
F02,F09,S02,S03,False,1,0.1306839209087031,0.4992279235740353,False
F02,F10,S02,S01,False,-2,0.2587201223298022,0.1837265274522714,False
F03,F04,S03,S01,False,-2,0.5887319300269651,0.0009817137381051937,False
F03,F05,S03,S02,False,-1,0.11404624088948309,0.5558143432474437,False
F03,F06,S03,S03,True,0,0.9795957342357887,4.688076625684978e-21,True
F03,F07,S03,S01,False,2,0.578219265748045,0.001269281115293362,False
F03,F08,S03,S02,False,-1,0.10389148774465752,0.5917387609922191,False
F03,F09,S03,S03,True,0,0.9799864970535002,3.5847877502240225e-21,True
F03,F10,S03,S01,False,-2,0.5814077213182718,0.0011752060081625126,False
F04,F05,S01,S02,False,1,0.22671979651981772,0.23692953322134705,False
F04,F06,S01,S03,False,2,0.5700013906828444,0.001542447964223052,False
F04,F07,S01,S01,True,0,0.991557444784824,2.173970175603085e-26,True
F04,F08,S01,S02,False,2,0.24249785062453044,0.21374451969629318,False
F04,F09,S01,S03,False,2,0.586754370445964,0.0010310068799194835,False
F04,F10,S01,S01,True,0,0.9870000954923177,8.906696912247798e-24,True
F05,F06,S02,S03,False,1,0.09896688934878227,0.6095143953061327,False
F05,F07,S02,S01,False,-1,0.21026556292401,0.27360271739788183,False
F05,F08,S02,S02,True,0,0.9931361308352308,1.2099245745852127e-27,True
F05,F09,S02,S03,False,1,0.12237583206328409,0.527119142897916,False
F05,F10,S02,S01,False,-2,0.2706685078661089,0.16358711539020257,False
F06,F07,S03,S01,False,2,0.5782035339257531,0.0012697610156293094,False
F06,F08,S03,S02,False,-1,0.08456625919833888,0.6627249666491197,False
F06,F09,S03,S03,True,0,0.9776315370222274,1.6771916529982157e-20,True
F06,F10,S03,S01,False,2,0.5726217698285015,0.001450295381643515,False
F07,F08,S01,S02,False,2,0.22760225052179153,0.244093912252719,False
F07,F09,S01,S03,False,2,0.5775619524227845,0.0012894671021333633,False
F07,F10,S01,S01,True,0,0.9867271165058648,1.1894465686120103e-23,True
F08,F09,S02,S03,False,1,0.10665435453309775,0.5818655057607324,False
F08,F10,S02,S01,False,-2,0.2880042350593065,0.13722841023335378,False
F09,F10,S03,S01,False,-2,0.5847074001770377,0.0010842835339003774,False
